CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
NUTS & SEEDS,SUMA BAGGED DOWN,NU017,Brazil - broken,,5 KG,39.55,,,,,G,,,V
FRUIT - DRIED,SUMA PREPACKS,DR085,Incan Berries,Cape Gooseberries,6 X 125G,9.56,,2.12,,,G,,,V
SUPPLEMENTS & REMEDIES,CONSCIOUS FOODS,VM136,D'Mix - fusion of seeds,chew to aid digestion,1 X 100G,9.37,1,14.99,,,G,,,V
SOFT DRINKS,CHI,JU356,Espresso Coconut Milk,,12 X 330ML,13.42,1,1.79,,,G,,S,V
READY MEALS (FROZEN),CLIVE'S,XL039,Vegetable Chilli Pasty,,6 X 190G,10.32,,2.29,,,,O,S,V
PASTA,ORGRAN,WT110,Corn & Vegetable Pasta Spirals,,7 X 250G,10.45,,1.99,,,G,,,V
CRISPS & SNACKS,CLEARSPRING,ZX226,Tamari Roast Sicilian Almonds,Provides Vit E;fibre & protein,15 X 30G,13.82,1,1.49,,,G,O,,
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU201,Almonds - organic,,1 KG,13.89,,,,,G,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS064,Black Cherry Spread,,6 X 284G,9.07,,2.05,,,G,,,V
CHOCOLATE,DIVINE,ZX498,70% Dark Chocolate,,15 X 100G,19.2,1,2.05,,F,G,,S,V
HONEY,LITTLEOVER APIARIES,HY039,Pure Lavender Honey,,4 X 340G,10.84,,3.75,,,G,,,
BISCUITS CRACKERS & CRISPBREAD,DOVES FARM,BT092,Organic Digestive Biscuits,,12 X 400G,17.9,,1.99,,,,O,,
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE182,Chamomile - og,,6 X 20 BAGS,6.26,,1.39,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,EASY BEAN,BT204,Chickpea Crispbread - Moroccan,,8 X 110G,17.6,,2.95,,,G,,,
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ206,Washing Powder Zero,Non Bio,3 X 1.88KG,17.34,1,9.25,,,,,,
BABY & CHILD FOOD,ELLA'S KITCHEN,BB006,Carrot; Apple & Parsnip,from 4 months,7 X 120G,6.25,,1.19,,,G,O,,V
HERB & FRUIT INFUSIONS,ESSENTIAL TRADING,TE279,Peppermint Tea,Demeter organic,6 X 20BAGS,5.04,,1.15,,,,O,,V
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ180,Laundry Liquid,Bulk,5L,13.25,1,21.2,,,,,,V
SOFT DRINKS,FENTIMANS,JU755,Tonic Water Light,cluster packs,6 X 4X200ML,13.5,1,3.58,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,FOSTERS,BT348,Camper Van Tin,Contains Mini Shortbreads,6 X 200G,40.8,,9.25,,,,,S,
SWEET SNACKS,GOODY GOOD STUFF,ZX148,Koala Gummy Bears,,12 X 100G,10.8,1,1.45,,,G,,S,
DAIRY DESSERTS (FROZEN),GREEN & BLACKS,XL186,OG Vanilla & Chocolate Swirl,,6 X 500ML,18.53,1,4.95,,,G,O,S,
CRISPS & SNACKS,BROWN BAG CRISPS,ZX269,Oak Smoked Chilli,,10 X 150G,12.22,1,1.95,,,G,,S,V
BEANS & PULSES - DRIED,SUMA COMMODITIES,PU022,Lentils - green,,25 KG,24.25,,,,,G,,,V
HONEY,COMVITA,HY155,5+ Manuka Honey,,3 X 500G,42.73,,18.99,,,G,,,
NUTS & SEEDS,SUMA COMMODITIES,NU028,Hazelnuts,,25 KG,178,,,,,,,,
OILS & FATS,SUMA,GT100,Grapeseed Oil,,6 X 500ML,16.42,,3.65,,,G,,,V
BEANS & PULSES - CANNED,HODMEDOD,VF130,Fava Beans - whole,UK grown,12 X 400G,8.95,,0.99,,,,,,V
HERB & FRUIT INFUSIONS,HAMPSTEAD TEA,TE439,Peppermint Tea - og,,6 X 20BAGS,8.96,,1.99,B,F,G,O,,V
CRISPS & SNACKS,SUMA COMMODITIES,ZX132,Rice Crackers - Yakko Mix,,7.5 KG,37.2,,,,,,,,
SUGARS & SYRUPS,BILLINGTONS,LJ058,Sugar - Demerara,,10 X 500 G,10.88,,1.45,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,KALLO,BT011,Salt & Vinegar Corn/Rice Snack,,12 X 25G,5.63,1,0.75,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,LES PAIN DES FLEURS,BT095,Chestnut Crispbread,,6 X 125G,14.25,,3.15,,,G,O,,V
SNACK BARS & FLAPJACKS,LYME REGIS FOODS,KB052,Mixed Berry,,24 X 35G,9.75,1,0.65,,,,O,,V
BAKING SUNDRIES,ENGEVITA,LJ020,Yeast Flakes with Vitamin B12,,6 X 125G,13.24,,2.95,,,G,,,V
JAMS & FRUIT SPREADS,MERIDIAN,JS100,Wild Blueberry Spread - og,,6 X 284G,11.2,,2.49,,,G,O,,V
BODYCARE,MIZU FROM ECOVER,DY985,Body Wash - Lavender,With Aloe Vera,6 X 250ML,14,1,3.75,,,,,,
PEANUT; SEED & NUT BUTTERS,BIONA,GH076,Pumpkin Seed Butter Organic,,6 X 170G,13.46,,2.99,,,,O,,V
MUESLIS & BREAKFAST CEREALS,SUMA MUESLI - BAG IN BOX,MX095,Luxury Tropical Muesli,,6 X 750G,9.16,,2.05,,,,,,V
HOUSEHOLD CLEANING PRODUCTS,EARTH FRIENDLY,HJ122,Unifresh Citrus Air Freshener,Citrus-Lemongrass,6 X 130ML,18.36,1,4.89,,,,,,V
OLIVES,SUNITA,KJ097,Green Olives,,12 X 1 LB,20.58,,2.29,,,G,,,V
MILK - NON DAIRY,ECOMIL,SY119,Almond Drink - Vanilla,,12 X 1L,24.09,,2.69,,,G,O,,V
SOUPS,SUMA,VF600,Lentil & Courgette Soup,,12 X 420G,11.6,,1.29,,,,O,,V
SWEET SNACKS,PEPPERSMITH,ZX590,Sicilian Lemon Peppermints,,12 X 15G,11.21,1,1.49,,,G,,,V
CHOCOLATE,PLAMIL,KB786,No Added Sugar with Mint,,6 X 100G,9.08,1,2.42,,,G,,,V
MILK - NON DAIRY,PROVAMEL,SY011,Coconut & Rice Drink,,12 X 1L,16.12,,1.79,,,G,O,,V
FLOURS & BREAD MIXES,BOBS RED MILL,FG121,Tapioca Flour Gluten Free,,4 X 500G,12.86,,4.29,,,G,,,V
HERB & FRUIT INFUSIONS,PUKKA,TE542,Supreme Green Matcha,,4 X 20 BAGS,7.47,,2.49,,F,G,O,,V
GRAINS,SUMA BAGGED DOWN - ORGANIC,QS016,Quinoa - organic,,1 KG,11.49,,,,,G,O,,V
CHOCOLATE,THE RAW CHOCOLATE CO,KB192,Goji Berry & Orange,,18 X 22G,11.18,1,0.99,,,G,,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV715,Meat-Free Meatballs,,6 X 350G,14.36,,3.19,,,,,S,V
FRUIT JUICE CONCS & CORDIALS,ROCKS,JU200,Summer Fruit Cordial - organic,,12 X 360ML,26.17,1,3.49,,,G,O,S,V
SALT & SEASONINGS,THE SALT SELLER,LJ169,Pink Himalayan Fine Salt,,6 X 300G,11.4,,2.59,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,NAIRNS,BT415,Stem Ginger,Nut Free,10 X 200G,11.93,,1.59,,,,,S,V
SUGARS & SYRUPS,SUMA BAGGED DOWN,LJ097,Soft Brown Sugar,,3 KG,8.05,,,,,G,,S,V
MIDDLE EASTERN & AFRICAN FOOD,AL'FEZ,KJ752,Ras El Hanout Rub (in jar),,6 X 42G,8.06,,1.79,,,,,,V
PROMOTIONAL MATERIALS,SUMA,BK720,Jumbo Kitchen Roll Leaflet,,EACH,0,,,,,,,,
GRAINS,SUMA PREPACKS,QS061,Tapioca,,6 X 500G,8.84,,1.95,,,G,,,V
OILS & FATS,TIANA,GT051,Pure Coconut Butter,,12 X 750ML,96.24,,10.69,,,G,O,,V
COFFEE,TRAIDCRAFT,TE773,Medium Roast - Decaffeinated,,6 X 227 G,20.61,,4.59,,F,G,O,,V
HERB & FRUIT INFUSIONS,DRAGONFLY TEAS,TE813,Pu'er Tea - og,,4 X 20 BAGS,4.64,,1.55,,,G,O,,V
CRISPS & SNACKS,TYRRELLS,ZX023,Naked Chips,,12 X 150G,14.63,1,1.95,,,G,,,V
SAUSAGES & BURGERS (FROZEN),VEGETARIANS CHOICE,XL202,Meat Free Sausages,5 Pack,16 X 200G,11.88,,0.99,,,,,,V
NON-DAIRY DESSERTS (FROZEN),BOOJA BOOJA,XL037,Pompompous Maple Pecan,,6 X 500ML,31.86,1,8.49,,,G,O,,V
WINES,RED WINE,RS025,Pinot Noir Meinklang,Biodynamic,1 X 75CL,10.37,1,16.59,B,,G,O,,V
SOFT DRINKS,WHOLE EARTH,JU946,Cola - organic,,24 X 330ML,14.85,1,0.99,,,,O,S,V
BABYCARE PRODUCTS,WELEDA,DY521,Calendula Lotion,cleanse/nourish sensitive skin,6 X 200ML,27.84,1,7.95,,,,,,
FLAKES; BRANS & WHEATGERM,SUMA PREPACKS - ORGANIC,FX213,Toasted Malted Wheat Flakes OG,,6 X 400G,7.48,,1.65,,,,O,,V
CHOCOLATE & TOFFEE SPREADS,BIONA,GH010,Milk Choc Hazel Spread - org,,6 X 350G,14.81,,3.29,,,G,O,S,
BODYCARE,YES YES YES COMPANY LTD,DY193,Oil Based Intimate Lubricant,,1 X 75ML,5.95,1,9.99,,,G,O,,
FRUIT - DRIED,SUMA COMMODITIES,DR083,Incan Berries,Cape Gooseberries,15 KG,171.85,,,,,G,,,
NUTS & SEEDS,SUMA PREPACKS - ORGANIC,NU297,Brazils Fairtrade - organic,Fairly Traded,6 X 125G,9.32,,2.07,,F,G,O,,V
CRISPS & SNACKS,HOOTS,ZX353,Pickled Onions,,26 X 35G,9.56,,0.49,,,,,S,V
BEANS & PULSES - DRIED,SUMA BAGGED DOWN - ORGANIC,PU117,Chick Peas - organic,,1 KG,2.35,,,,,G,O,,V
READY MEALS (FROZEN),CLIVE'S,XL040,Soysage Roll,,10 X 120G,10.27,,1.36,,,,O,S,V
VEGETABLES,COOKS & CO,KJ020,Artichoke Bottoms,,12 X 390G,17.2,,1.89,,,G,,,V
FRUIT - CANNED & JARRED,CLEARSPRING,VF156,Apple Puree - organic,,12 X 2X100G,11.61,,1.29,,,G,O,,V
VEGETABLES,ST DALFOUR,VF112,Whole Chestnuts,Ready to eat,6 X 200G,13,,2.69,,,G,,,V
CHOCOLATE,DIVINE,ZX469,85% Dark Chocolate,,15 X 100G,19.2,1,2.05,,F,G,,S,V
PICKLES; CHUTNEYS & MUSTARDS,ATKINS & POTTS,KJ140,Spiced Pear & Date Chutney,,6 X 235G,12.51,,2.79,,,G,,S,V
BAKING SUNDRIES,DOVES FARM,LJ163,Original Dry Yeast,,6 X 125G,6.5,,1.45,,,G,,,V
VEGETABLES,TERRASANA,LJ084,Instant Mashed Potato,,10 X 108G,14.45,,1.95,,,,O,,V
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE751,Cool Mint - organic,,6 X 15 BAGS,8.96,,1.99,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,EASY BEAN,BT205,Chickpea Crispbread-Mung Bean,With chive,8 X 110G,17.6,,2.95,,,G,,,
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ203,Washing Powder Zero,Non Bio,7.5 KG,21.56,1,34.49,,,,,,
BABY & CHILD FOOD,ELLA'S KITCHEN,BB239,The Red One - Multi Pack,,6 X 5 X 90G,21.95,,4.89,,,G,O,,V
BODYCARE,FAITH,DY050,Loose Soap - Aloe Vera,with ylang ylang,18 X 100G,16.31,1,1.45,,,,,,V
SOFT DRINKS,FENTIMANS,JU761,Tonic Water,,24 X 125ML,10.92,1,0.71,,,G,,S,V
CRISPS & SNACKS,BROWN BAG CRISPS,ZX273,West Country Cheddar & Onion,,10 X 150G,12.22,1,1.95,,,G,,S,
SWEET SNACKS,HENRY GOODES,ZX437,Soft Eating Liquorice,,12 X 140G,11.1,1,1.48,,,,,,
CHOCOLATE,GREEN & BLACKS,KB177,White Chocolate,,30 X 35G,16.66,1,0.89,,F,G,O,S,
READY MEALS (FROZEN),GOODLIFE,XL163,Catering Pack Falafel,Not for Retail Sale,50 X 25G,7.6,,,,,,,,V
PATE,TARTEX,GH006,Herb Pate - og,,12 X 200G,22.41,,2.49,,,G,O,,V
HONEY,ROWSE,HY056,Manuka 5+ Clear Honey,,6 X 340G,39.56,,8.79,,,G,,,
NUTS & SEEDS,SUMA BAGGED DOWN,NU030,Hazelnuts,,5 KG,43.99,,,,,G,,,V
OILS & FATS,SUMA,GT084,Olive Oil - Extra Virgin,,6 X 500ML,22.28,,4.95,,,G,,,V
BEANS & PULSES - DRIED,HODMEDOD,PU023,Kabuki Peas - whole dried,marrowfat pea; UK grown,12 X 500G,15,,1.8,,,G,,,V
TEAS,HAMPSTEAD TEA,TE365,Oolong Leaf Tea - og,Single Estate - looseleaf,6 X 50G,10.76,,2.39,B,,G,O,,V
SUGARS & SYRUPS,BILLINGTONS,LJ192,Fairtrade Natural Dark Brown,,10 X 500G,10.3,,1.39,,F,G,,,V
FAR EASTERN FOOD,SANCHI,JP055,Miso Soup,,6 X 6 X 8 G,12.2,,2.7,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,LES PAIN DES FLEURS,BT093,Quinoa Crispbread,,6 X 125G,16.39,,3.65,,F,G,O,,V
SNACK BARS & FLAPJACKS,LYME REGIS FOODS,KB471,Pomegranate and Blueberry,,24 X 35G,9.75,1,0.65,,,,O,,V
FLOURS & BREAD MIXES,MARRIAGES,FG258,OG Lite Brown Self Raising,replaces 81% self raising,5 X 1.5KG,8.12,,2.15,,,,O,,V
COFFEE,TRAIDCRAFT,TE775,Medium Roast,,6 X 227 G,18.36,,4.07,,F,G,,,V
JAMS & FRUIT SPREADS,MERIDIAN,JS020,Morello Cherry Spread -organic,,6 X 284G,11.2,,2.49,,,G,O,,V
CHOCOLATE,MONTY BOJANGLES,KB002,Cocoa Nib Dusted Truffles,,9 X 100G,13.5,1,2.49,,,,,S,
GRAINS,BIONA,QS105,Pudding Rice Organic,,6 X 500G,9.41,,2.09,,,G,O,,V
MUESLIS & BREAKFAST CEREALS,ALARA,MX176,Maca`s Secrets Adults MueslI,,6 X 400G,15.25,,3.39,,,,,,
HOUSEHOLD CLEANING PRODUCTS,EARTH FRIENDLY,HJ014,Furniture Polish,,6 X 500ML,14.94,1,3.99,,,G,,,V
CRISPS & SNACKS,NOTHING BUT,ZX320,Pea & Sweetcorn Snack,,8 X 20G,7.14,,1.19,,,G,,,V
OLIVES,SUNITA,VF383,Green Olives,2 Kg Drained Weight,3 KG,7.56,,,,,G,,,V
MILK - NON DAIRY,ECOMIL,SY120,Almond Drink - Cacao,,12 X 1L,24.09,,2.69,,,G,O,,V
SOUPS,SUMA,VF350,Italian Tomato & Basil Soup,,12 X 400G,11.6,,1.29,,,,O,S,V
BAKING SUNDRIES,BOBS RED MILL,LJ207,Vital Wheat Gluten,,4 X 500G,20.8,,6.95,,,,,,V
SWEET SNACKS,PEPPERSMITH,ZX434,Peppermint Chewing Gum,Natural chicle gum,12 X 15G,11.21,1,1.49,,,G,,,V
CHOCOLATE & TOFFEE SPREADS,PLAMIL,GH119,Milk Choc Spread (Dairy Free),,6 X 275G,11.84,,2.63,,,G,O,S,V
SOYA YOGS & DESSERTS (CHILLED),PROVAMEL,CV075,Organic Forest Fruit Yofu,Minimum 15 days shelf life,6 X 500G,7.43,,1.65,,,G,O,S,V
HERB & FRUIT INFUSIONS,PUKKA,TE328,Three Cinnamon,,4 X 20 BAGS,6.87,,2.29,,,G,O,,V
GRAINS,SUMA BAGGED DOWN - ORGANIC,QS606,Quinoa - organic,,3 KG,32.75,,,,,G,O,,V
CHOCOLATE,THE RAW CHOCOLATE CO,KB184,Pitch Dark,,18 X 22G,11.18,1,0.99,,,G,,,V
CHOCOLATE,BOOJA BOOJA,KB367,Raspberry Ecuador Truffles 8,Refrigerate all year round,3 X 92G,13.11,1,6.99,,,G,O,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV759,Meat-free Mini Burger Bites,,6 X 165G,11.22,,2.49,,,,,,V
FRUIT JUICE CONCS & CORDIALS,ROCKS,JU248,Spiced Fruit Punch Cordial-Org,,12 X 360ML,26.17,1,3.49,,,G,O,S,V
SUPPLEMENTS & REMEDIES,THE SALTPIPE,MD180,The Saltpipe - Respiratory Aid,ideal for use at home,EACH,17,1,29.95,,,,,,
CRISPS & SNACKS,TYRRELLS,ZX655,Mixed Roots,,12 X 150G,30.69,,3.39,,,,,,V
SALADS & SPROUTS (CHILLED),SKY SPROUTS,CV721,Organic Broccoli Sprouts,Fresh Broccoli Sprouts,100G,0.97,,1.29,,,G,O,,V
FRUIT - DRIED,SUMA PREPACKS - ORGANIC,DR066,Sultanas - organic,,6 X 250G,8.12,,1.79,,,G,O,,V
PASTA SAUCES & PESTOS,SUMA,KJ190,Pesto - Red; vegetarian,,6 X 160G,11.66,,2.59,,,G,O,,
FLOURS & BREAD MIXES,SUMA PREPACKS,FG001,Tapioca Flour,,6 X 500G,7.95,,1.79,,,G,,,V
OILS & FATS,TIANA,GT053,Raw Extra Virgin Coconut Oil,,12 X 750ML,197.88,,21.99,,F,G,O,,V
MIDDLE EASTERN & AFRICAN FOOD,AL'FEZ,KJ126,Ras El Hanout Rub (in box),2 X 21g sachets,6 X 42G,8.06,,1.79,,,,,,V
HERB & FRUIT INFUSIONS,DRAGONFLY TEAS,TE338,Moonlight Jasmine - og,,4 X 20 BAGS,4,,1.35,,,G,O,,V
SWEET SNACKS,VEGEBEARS,ZX306,Slightly Sour,,8 X 100G,7.53,1,1.51,,,G,O,S,V
WINES,RED WINE,RS052,Beaujolais Quatre Saisons,,1 X 75 CL,8.48,1,13.55,,,G,O,,V
SOFT DRINKS,WHOLE EARTH,JU947,Mountain Cranberry - Organic,,24 X 330ML,14.85,1,0.99,,,G,O,S,V
BABYCARE PRODUCTS,WELEDA,DY694,Calendula Bath,encourages peaceful sleep,6 X 200ML,38.34,1,10.95,,,,,,V
SAUSAGES & BURGERS (FROZEN),WICKEN FEN,XL381,Carrot & Coriander Sausages,,6 X 280G,12.85,,2.86,,,G,,,V
MARGARINES & SPREADS (CHILLED),BIONA,MA030,Vegetable Margarine - organic,non hydrogenated,16 X 500G,34.68,,2.89,,,G,O,,V
BODYCARE,YES YES YES COMPANY LTD,DY178,Water Based Intimate Lubricant,condom compatible,1 X 25ML,2.98,1,4.99,,,,O,,V
NUTS & SEEDS,SUMA COMMODITIES - ORGANIC,NU123,Brazils Fairtrade - organic,wholes - fairtrade,20 KG,225,,,,F,G,O,,V
FRUIT - DRIED,SUMA COMMODITIES,DR777,Caps - Lemon,Preserved peel,3.5 KG,20.6,,,,,G,,S,V
CRISPS & SNACKS,HOOTS,ZX354,Salt and Pepper,,26 X 35G,9.56,,0.49,,,,,S,V
READY MEALS (FROZEN),CLIVE'S,XL042,Moroccan Tagine,,6 X 400G,15.68,,3.49,,,G,O,,V
VEGETABLES,COOKS & CO,KJ088,Artichoke Hearts in Brine,,12 X 390G,20.05,,2.25,,,G,,,
FRUIT - CANNED & JARRED,CLEARSPRING,VF188,Apple &Blueberry Puree-organic,,12 X 2X100G,11.61,,1.29,,,G,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS009,Cranberry & Blueberry,,6 X 284G,9.07,,2.05,,,G,,,V
PICKLES; CHUTNEYS & MUSTARDS,ATKINS & POTTS,KJ136,Spicy Piccalilli,,6 X 230G,12.51,,2.79,,,G,,S,V
CHOCOLATE,DIVINE,KB320,38% Milk Chocolate & Almond,,15 X 100G,20.6,1,2.12,,F,G,,S,
FLOURS & BREAD MIXES,DOVES FARM,FG082,Einkorn Flour,English Wholegrain; Grey Bag,5 X 1KG,11.5,,3.05,,,,O,,V
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE825,Chamomile & Vanilla - organic,,6 X 15 BAGS,8.96,,1.99,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,EASY BEAN,BT208,Chickpea Crispbread w/Seeds,,8 X 125G,17.6,,2.95,,,G,,,
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ204,Washing Powder Zero,Non Bio,6 X 750G,14.59,1,3.89,,,,,,
BABY & CHILD FOOD,ELLA'S KITCHEN,BB236,The Yellow One - Multi Pack,,6 X 5 X 90G,21.95,,4.89,,,G,O,,V
SNACK BARS & FLAPJACKS,9 BAR,KB390,Original Hemp Seed Bar,,16 X 50G,8.5,1,0.85,,,G,,S,
CRISPS & SNACKS,BROWN BAG CRISPS,ZX270,Lightly Salted,,10 X 150G,12.22,1,1.95,,,G,,,V
BODYCARE,FAITH,DY154,Loose Soap - Hemp; Lemongrass;,Green Tea,18 X 100G,16.31,1,1.45,,,,,,V
BAKING SUNDRIES,FERMIPAN,LJ061,Dried Yeast,,20 X 500G,69.05,,4.59,,,G,,,V
SWEET SNACKS,HENRY GOODES,ZX440,Soft Eating Liquorice,,12 X 300G,21.2,1,2.85,,,,,,
BAKING SUNDRIES,GREEN & BLACKS,KB049,White Cooks Chocolate-Organic,No VAT on cooking chocolate,15 X 150G,28.02,,2.49,,F,G,O,S,
BEANS & PULSES - DRIED,SUMA BAGGED DOWN,PU186,Lentils - green,,3 KG,4.25,,,,,G,,,V
BODYCARE,GREEN PEOPLE COMPANY,DY288,Organic Childrens Conditioner,Lavender,6 X 200ML,24.07,1,7.22,,,,O,,V
SUGARS & SYRUPS,SHADY MAPLE FARMS,HY025,Maple Syrup - organic,,12 X 250ML,68.45,,7.59,,,G,O,,V
SOFT DRINKS,BELVOIR,JU327,Pomegranate & Raspberry Presse,,24 X 250ML,20.17,1,1.35,,,G,,S,V
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU202,Hazelnuts - organic,,1 KG,11.39,,,,,G,O,,V
OILS & FATS,SUMA,GT086,Olive Oil - Extra Virgin,,5L,30.49,,40.55,,,G,,,V
BEANS & PULSES - DRIED,HODMEDOD,PU014,Organic Fava Beans - split,UK grown,10 X 500G,17.22,,2.29,,,,O,,V
HERB & FRUIT INFUSIONS,HAMPSTEAD TEA,TE468,Rosehip Hibiscus Tea - og,,6 X 20BAGS,8.96,,1.99,B,F,G,O,,V
FAR EASTERN FOOD,SANCHI,JP668,Mugi Miso - organic,(Barley),6 X 200G,17.29,,3.85,,,,O,,
PATE,TARTEX,GH007,Mushroom pate - og,,12 X 200G,22.41,,2.49,,,G,O,,V
TOOTHCARE,PHYTO SHIELD,DY331,Herbal Botanical Toothpaste,,12 X 100G,26.04,1,3.89,,,,,,V
SUGARS & SYRUPS,BILLINGTONS,LJ060,Sugar - Dark Muscovado,,10 X 500 G,12.6,,1.69,,,G,,S,V
SNACK BARS & FLAPJACKS,LYME REGIS FOODS,KB477,Apricot & Honey Bar,,24 X 25G,8.22,1,0.55,,,,,,
CONVENIENCE FOODS,MARIGOLD,SY022,Braised Tofu - Cans,,12 X 225G,20.24,,2.25,,,,,,
JAMS & FRUIT SPREADS,MERIDIAN,JS017,Seville Orange Spread -organic,,6 X 284G,11.2,,2.49,,,G,O,,V
CHOCOLATE,MONTY BOJANGLES,KB025,Ginger Dusted Truffles,,9 X 100G,13.5,1,2.49,,,,,S,
MUESLIS & BREAKFAST CEREALS,SUMA BULK MUESLI - ORGANIC,MX052,Muesli - organic,,10 KG,23.09,,,,,,O,,V
HOUSEHOLD CLEANING PRODUCTS,EARTH FRIENDLY,HJ553,Unifresh Lavender AirFreshener,aromatherapy air freshener,6 X 130ML,18.36,1,4.99,,,,,,V
MUESLIS & BREAKFAST CEREALS,NATURES PATH,MX136,Berry Granola - Gluten Free,Strawberry/raspberry/blueberry,8 X 312G,25.74,,4.29,,,G,O,,
BREADS & BREAD MIXES,BIONA,BT207,Rye Bread - Pumpkin Seed,Wheat free,6 X 500G,8.96,,1.99,,,,O,,V
MILK - NON DAIRY,ECOMIL,SY118,Almond Drink - Muesli,,12 X 1L,24.09,,2.69,,,,O,,V
FRUIT & VEGETABLE JUICES,SUNITA,JU997,Lemon Juice - E224,Potassium metabisulphite,5L,10.37,,,,,G,,,V
SOUPS,SUMA,VF680,Tuscan Bean Soup,,12 X 400G,11.6,,1.29,,,G,O,,V
SWEET SNACKS,PEPPERSMITH TINGZ,ZX188,Orange & Mandarin,,18 X 15G,13.38,1,1.19,,,G,,,V
CHOCOLATE & TOFFEE SPREADS,PLAMIL,GH118,Choc Spread No Added Sugar,,6 X 275G,14.09,,3.13,,,G,O,,V
DRINKS (CHILLED),ALPRO,CV087,Soya Fresh - Natural,with calcium & vitamins,6 X 1L,6.98,,1.55,,,G,,,V
SNACK BARS & FLAPJACKS,BEOND,KB723,Apple & Cinnamon Bar Mini,,36 X 15G,11.16,1,0.49,,,G,O,,V
GRAINS,SUMA PREPACKS - ORGANIC,QS086,Quinoa - organic,,6 X 500G,32.86,,7.29,,,G,O,,V
BODYCARE,NATRACARE,NF121,Panty Liner Curved,organic cotton cover,16 X 30,18.47,5,1.79,,,,,,V
CHOCOLATE,THE RAW CHOCOLATE CO,KB179,Mint,,18 X 22G,11.18,1,0.99,,,G,,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV171,Chicken Style Nuggets,,6 X 150G,9.72,,2.15,,,,,S,V
SWEET SNACKS,ROSKILLYS,ZX341,Organic Assorted Fudge,,20 X 100G,22.05,1,2,,,G,O,S,
READY MEALS (FROZEN),SAMOSACO,XL335,Mini Samosas & Bhajees,,80 X 1,19.71,,0.35,,,,,,V
BEANS & PULSES - CANNED,CALISPA,VF021,Chick Peas - Catering Size,,6 X 2.5KG,16.65,,3.75,,,,,,V
FRUIT - DRIED,SUMA PREPACKS,DR114,Sultanas - Australian,,6 X 250G,8.77,,1.95,,,G,,,V
PASTA SAUCES & PESTOS,SUMA,KJ161,Organic Pesto Rosso,Tomato; basil and cashews,12 X 190G,26.1,,2.89,,,G,O,,V
ESSENTIAL OILS,AQUA OLEUM,AR024,Rosemary,Rosmarinus Officinalis-Tunisia,3 X 10ML,7.12,1,4.25,,,,,,V
BAKING SUNDRIES,TAYLOR & COLLEDGE,LJ195,Vanilla Beans - 4 whole pods,,6 X 10G,20.02,,4.89,,,G,O,,V
OILS & FATS,TIANA,GT054,Raw Extra Virgin Coconut Oil,,12 X 500ML,134.88,,14.99,,F,G,O,,V
JAMS & FRUIT SPREADS,TRAIDCRAFT,GH165,Organic Orange Marmalade,,6 X 340G,9.95,,2.2,,F,G,O,S,V
HERB & FRUIT INFUSIONS,ELEVEN O'CLOCK,TE382,Rooibosch - og,,5 X 80 BAGS,16.72,,4.45,,,G,O,,V
CRISPS & SNACKS,TYRRELLS,ZX918,Sweet Chilli and Red Pepper,,24 X 40G,11.83,1,0.79,,,G,,S,V
BEANS & PULSES - CANNED,GEO ORGANICS,VF220,Fair-trade Baked Beans,,6 X 400G,5.58,,1.25,,F,,O,S,V
WINES,RED WINE,RS023,Nero D'Avola Insieme S. Tresa,no added sulphur,1 X 75CL,7.17,1,11.19,,,G,O,,V
SOFT DRINKS,WHOLE EARTH,JU935,Lemonade - organic,,24 X 330ML,14.85,1,0.99,,,G,O,S,V
CHOCOLATE,BOOJA BOOJA,KB371,Raspberry Ecuador Truffles x 2,Refrigerate all year round,12 X 25G,12.72,1,1.69,,,G,O,,V
BABYCARE PRODUCTS,WELEDA,DY666,Calendula Baby Oil,Moisturising,6 X 200ML,33.24,1,9.5,,,,,,V
READY MEALS (FROZEN),WICKEN FEN,XL382,Falafel,,6 X 230G,9.94,,2.2,,,,,,V
