CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
HERB & FRUIT INFUSIONS,DR STUARTS,TE168,Cranberry & Raspberry,,6 X 15 BAGS,8.78,,1.95,,,G,,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ511,Toilet Cleaner Pine Fresh,,6 X 750 ML,5.69,1,1.55,,,,,,V
SOFT DRINKS,EQUINOX,JU244,Kombucha Ginger,,20 X 275ML,21.13,1,1.69,,,G,O,S,V
BAGS; BOXES AND BASKETS,BOULEVARD,NF162,Red String Bags,,10 X BAGS,15.5,1,2.49,,,,,,
HERB & FRUIT INFUSIONS,EQUAL EXCHANGE,TE010,Rooibos-Honeybush & Buchu,,6 X 25 BAGS,11.67,,2.59,,F,G,O,,V
BODYCARE,FAITH,DY805,Uplifting Fruits Gift Bag,Grapef/Orang & Rasp/Cran Foam,EACH,3.49,1,5.99,,,,,,V
SOFT DRINKS,FENTIMANS,JU908,Dandelion & Burdock,,12 X 275ML,10.15,1,1.35,,,G,,S,V
CHRISTMAS FOOD,FOSTERS,KJ144,Brandy Butter,,12 X 200G,29.88,,3.35,,,G,,S,
MEATLESS SUBSTITUTES (CHILLED),DELI FRY'S,CV104,Gourmet Italian Mortadela,Wheat based meat alternative,10 X 320G,33.89,,4.52,,,,,,V
CHOCOLATE,GREEN & BLACKS,KB396,Organic Milk Chocolate Egg,,4 X 165G,16.48,1,6.59,,F,G,O,S,
HERBS & SPICES - PREPACKED,SUMA,HE190,Celery Seed,,6 X 50G,3.82,,0.85,,,G,,,V
FRUIT - DRIED,SUMA PREPACKS,DR121,Ginger - crystallised,,6 X 125G,5.11,1,1.35,,,G,,S,V
BABYCARE PRODUCTS,BEAMING BABY,NF633,Bio-Degradable Nappies - Mini,2 - 5kg / Size 1,8 X 20,28.35,,4.85,,,,,,V
TOOTHCARE,GREEN PEOPLE COMPANY,DY255,Peppermint,All Gums,12 X 50ML,23.4,1,3.5,,,,,,
